,IMG,Pti,Ptj,XPti,XPtj,XRefPti,XRefPtj,YPti,YPtj,YRefPti,YRefPtj,Distij,DistRefij
0,DSC00846_CLAHE_RGB.JPG,0,1,4892,2680,958,2678,2432,1274,1719,1276,2496.7795257090684,1776.1331594224573
1,DSC00846_CLAHE_RGB.JPG,0,2,4892,697,958,696,2432,1402,1719,1406,4319.597782201487,408.1825571971443
2,DSC00846_CLAHE_RGB.JPG,0,3,4892,4677,958,4675,2432,1753,1719,1753,712.2260876996854,3717.155498496128
3,DSC00846_CLAHE_RGB.JPG,0,4,4892,3561,958,3560,2432,2353,1719,2354,1333.3424166357267,2678.363119519084
4,DSC00846_CLAHE_RGB.JPG,1,0,2680,4892,2678,958,1274,2432,1276,1719,2496.7795257090684,1776.1331594224573
5,DSC00846_CLAHE_RGB.JPG,1,2,2680,697,2678,696,1274,1402,1276,1406,1987.1268203111747,1986.2587948200505
6,DSC00846_CLAHE_RGB.JPG,1,3,2680,4677,2678,4675,1274,1753,1276,1753,2053.643104339213,2053.1775373795613
7,DSC00846_CLAHE_RGB.JPG,1,4,2680,3561,2678,3560,1274,2353,1276,2354,1392.9831298332367,1392.8416995480857
8,DSC00846_CLAHE_RGB.JPG,2,0,697,4892,696,958,1402,2432,1406,1719,4319.597782201487,408.1825571971443
9,DSC00846_CLAHE_RGB.JPG,2,1,697,2680,696,2678,1402,1274,1406,1276,1987.1268203111747,1986.2587948200505
10,DSC00846_CLAHE_RGB.JPG,2,3,697,4677,696,4675,1402,1753,1406,1753,3995.4475343820995,3994.1019015543407
11,DSC00846_CLAHE_RGB.JPG,2,4,697,3561,696,3560,1402,2353,1406,2354,3017.7635758952356,3016.819517306264
12,DSC00846_CLAHE_RGB.JPG,3,0,4677,4892,4675,958,1753,2432,1753,1719,712.2260876996854,3717.155498496128
13,DSC00846_CLAHE_RGB.JPG,3,1,4677,2680,4675,2678,1753,1274,1753,1276,2053.643104339213,2053.1775373795613
14,DSC00846_CLAHE_RGB.JPG,3,2,4677,697,4675,696,1753,1402,1753,1406,3995.4475343820995,3994.1019015543407
15,DSC00846_CLAHE_RGB.JPG,3,4,4677,3561,4675,3560,1753,2353,1753,2354,1267.0659019956302,1266.6593859439877
16,DSC00846_CLAHE_RGB.JPG,4,0,3561,4892,3560,958,2353,2432,2354,1719,1333.3424166357267,2678.363119519084
17,DSC00846_CLAHE_RGB.JPG,4,1,3561,2680,3560,2678,2353,1274,2354,1276,1392.9831298332367,1392.8416995480857
18,DSC00846_CLAHE_RGB.JPG,4,2,3561,697,3560,696,2353,1402,2354,1406,3017.7635758952356,3016.819517306264
19,DSC00846_CLAHE_RGB.JPG,4,3,3561,4677,3560,4675,2353,1753,2354,1753,1267.0659019956302,1266.6593859439877
20,DSC00847_CLAHE_RGB.JPG,0,1,1480,2680,958,2678,1824,1275,1719,1276,1319.6215366535966,1776.1331594224573
21,DSC00847_CLAHE_RGB.JPG,0,2,1480,697,958,696,1824,1405,1719,1406,888.0596826790415,408.1825571971443
22,DSC00847_CLAHE_RGB.JPG,0,3,1480,4678,958,4675,1824,1753,1719,1753,3198.788051747099,3717.155498496128
23,DSC00847_CLAHE_RGB.JPG,0,4,1480,3562,958,3560,1824,2354,1719,2354,2148.400335133096,2678.363119519084
24,DSC00847_CLAHE_RGB.JPG,1,0,2680,1480,2678,958,1275,1824,1276,1719,1319.6215366535966,1776.1331594224573
25,DSC00847_CLAHE_RGB.JPG,1,2,2680,697,2678,696,1275,1405,1276,1406,1987.2566517689656,1986.2587948200505
26,DSC00847_CLAHE_RGB.JPG,1,3,2680,4678,2678,4675,1275,1753,1276,1753,2054.3826323253415,2053.1775373795613
27,DSC00847_CLAHE_RGB.JPG,1,4,2680,3562,2678,3560,1275,2354,1276,2354,1393.6158007140994,1392.8416995480857
28,DSC00847_CLAHE_RGB.JPG,2,0,697,1480,696,958,1405,1824,1406,1719,888.0596826790415,408.1825571971443
29,DSC00847_CLAHE_RGB.JPG,2,1,697,2680,696,2678,1405,1275,1406,1276,1987.2566517689656,1986.2587948200505
30,DSC00847_CLAHE_RGB.JPG,2,3,697,4678,696,4675,1405,1753,1406,1753,3996.1813021933826,3994.1019015543407
31,DSC00847_CLAHE_RGB.JPG,2,4,697,3562,696,3560,1405,2354,1406,2354,3018.0831665148,3016.819517306264
32,DSC00847_CLAHE_RGB.JPG,3,0,4678,1480,4675,958,1753,1824,1753,1719,3198.788051747099,3717.155498496128
33,DSC00847_CLAHE_RGB.JPG,3,1,4678,2680,4675,2678,1753,1275,1753,1276,2054.3826323253415,2053.1775373795613
34,DSC00847_CLAHE_RGB.JPG,3,2,4678,697,4675,696,1753,1405,1753,1406,3996.1813021933826,3994.1019015543407
35,DSC00847_CLAHE_RGB.JPG,3,4,4678,3562,4675,3560,1753,2354,1753,2354,1267.5397429666652,1266.6593859439877
36,DSC00847_CLAHE_RGB.JPG,4,0,3562,1480,3560,958,2354,1824,2354,1719,2148.400335133096,2678.363119519084
37,DSC00847_CLAHE_RGB.JPG,4,1,3562,2680,3560,2678,2354,1275,2354,1276,1393.6158007140994,1392.8416995480857
38,DSC00847_CLAHE_RGB.JPG,4,2,3562,697,3560,696,2354,1405,2354,1406,3018.0831665148,3016.819517306264
39,DSC00847_CLAHE_RGB.JPG,4,3,3562,4678,3560,4675,2354,1753,2354,1753,1267.5397429666652,1266.6593859439877
40,DSC00848_CLAHE_RGB.JPG,0,1,4018,2680,958,2678,2291,1274,1719,1276,1680.6347015339175,1776.1331594224573
41,DSC00848_CLAHE_RGB.JPG,0,2,4018,697,958,696,2291,1403,1719,1406,3437.6714502697896,408.1825571971443
