,IMG,Pti,Ptj,XPti,XPtj,XRefPti,XRefPtj,YPti,YPtj,YRefPti,YRefPtj,Distij,DistRefij
0,DSC00918_11h30.JPG,0,1,2970,2401,2971.558315025947,2401.664769833058,1768,1234,1769.0990201622747,1234.7074164060878,780.3313398806945,781.2509449707111
1,DSC00918_11h30.JPG,0,2,2970,781,2971.558315025947,782.547826789353,1768,1671,1769.0990201622747,1671.603988038549,2191.148100882275,2191.1805491329596
2,DSC00918_11h30.JPG,0,3,2970,817,2971.558315025947,817.7687310236951,1768,2787,1769.0990201622747,2788.0660578436336,2381.9676740039945,2382.667286055214
3,DSC00918_11h30.JPG,1,0,2401,2970,2401.664769833058,2971.558315025947,1234,1768,1234.7074164060878,1769.0990201622747,780.3313398806945,781.2509449707111
4,DSC00918_11h30.JPG,1,2,2401,781,2401.664769833058,782.547826789353,1234,1671,1234.7074164060878,1671.603988038549,1677.9061356345294,1677.0266216000837
5,DSC00918_11h30.JPG,1,3,2401,817,2401.664769833058,817.7687310236951,1234,2787,1234.7074164060878,2788.0660578436336,2218.3022787708624,2218.4791481293414
6,DSC00918_11h30.JPG,2,0,781,2970,782.547826789353,2971.558315025947,1671,1768,1671.603988038549,1769.0990201622747,2191.148100882275,2191.1805491329596
7,DSC00918_11h30.JPG,2,1,781,2401,782.547826789353,2401.664769833058,1671,1234,1671.603988038549,1234.7074164060878,1677.9061356345294,1677.0266216000837
8,DSC00918_11h30.JPG,2,3,781,817,782.547826789353,817.7687310236951,1671,2787,1671.603988038549,2788.0660578436336,1116.5804941874992,1117.0174866171694
9,DSC00918_11h30.JPG,3,0,817,2970,817.7687310236951,2971.558315025947,2787,1768,2788.0660578436336,1769.0990201622747,2381.9676740039945,2382.667286055214
10,DSC00918_11h30.JPG,3,1,817,2401,817.7687310236951,2401.664769833058,2787,1234,2788.0660578436336,1234.7074164060878,2218.3022787708624,2218.4791481293414
11,DSC00918_11h30.JPG,3,2,817,781,817.7687310236951,782.547826789353,2787,1671,2788.0660578436336,1671.603988038549,1116.5804941874992,1117.0174866171694
12,DSC00923_12h30.JPG,0,1,2934,2184,2971.558315025947,2401.664769833058,1247,1268,1769.0990201622747,1234.7074164060878,750.2939423985775,781.2509449707111
13,DSC00923_12h30.JPG,0,2,2934,556,2971.558315025947,782.547826789353,1247,1636,1769.0990201622747,1671.603988038549,2409.606814399395,2191.1805491329596
14,DSC00923_12h30.JPG,0,3,2934,909,2971.558315025947,817.7687310236951,1247,2785,1769.0990201622747,2788.0660578436336,2542.846633204606,2382.667286055214
15,DSC00923_12h30.JPG,1,0,2184,2934,2401.664769833058,2971.558315025947,1268,1247,1234.7074164060878,1769.0990201622747,750.2939423985775,781.2509449707111
16,DSC00923_12h30.JPG,1,2,2184,556,2401.664769833058,782.547826789353,1268,1636,1234.7074164060878,1671.603988038549,1669.0739947647617,1677.0266216000837
17,DSC00923_12h30.JPG,1,3,2184,909,2401.664769833058,817.7687310236951,1268,2785,1234.7074164060878,2788.0660578436336,1981.6442667643453,2218.4791481293414
18,DSC00923_12h30.JPG,2,0,556,2934,782.547826789353,2971.558315025947,1636,1247,1671.603988038549,1769.0990201622747,2409.606814399395,2191.1805491329596
19,DSC00923_12h30.JPG,2,1,556,2184,782.547826789353,2401.664769833058,1636,1268,1671.603988038549,1234.7074164060878,1669.0739947647617,1677.0266216000837
20,DSC00923_12h30.JPG,2,3,556,909,782.547826789353,817.7687310236951,1636,2785,1671.603988038549,2788.0660578436336,1202.002495837675,1117.0174866171694
21,DSC00923_12h30.JPG,3,0,909,2934,817.7687310236951,2971.558315025947,2785,1247,2788.0660578436336,1769.0990201622747,2542.846633204606,2382.667286055214
22,DSC00923_12h30.JPG,3,1,909,2184,817.7687310236951,2401.664769833058,2785,1268,2788.0660578436336,1234.7074164060878,1981.6442667643453,2218.4791481293414
23,DSC00923_12h30.JPG,3,2,909,556,817.7687310236951,782.547826789353,2785,1636,2788.0660578436336,1671.603988038549,1202.002495837675,1117.0174866171694
24,DSC00948_14h30.JPG,0,1,5185,2739,2971.558315025947,2401.664769833058,3397,1191,1769.0990201622747,1234.7074164060878,3293.8354542994402,781.2509449707111
25,DSC00948_14h30.JPG,0,2,5185,291,2971.558315025947,782.547826789353,3397,1373,1769.0990201622747,1671.603988038549,5296.018504499394,2191.1805491329596
26,DSC00948_14h30.JPG,0,3,5185,902,2971.558315025947,817.7687310236951,3397,2730,1769.0990201622747,2788.0660578436336,4334.625474017334,2382.667286055214
